"order_month","total_orders","total_customers","total_revenue","avg_order_value"
"2016-09-01 00:00:00","1","1","134.97","134.97"
"2016-10-01 00:00:00","265","262","40325.11","152.17"
"2016-12-01 00:00:00","1","1","10.90","10.90"
"2017-01-01 00:00:00","750","718","111798.36","149.06"
"2017-02-01 00:00:00","1653","1630","234223.40","141.70"
"2017-03-01 00:00:00","2546","2508","359198.85","141.08"
"2017-04-01 00:00:00","2303","2274","340669.68","147.92"
"2017-05-01 00:00:00","3546","3479","489338.25","138.00"
"2017-06-01 00:00:00","3135","3076","421923.37","134.58"
"2017-07-01 00:00:00","3872","3802","481604.52","124.38"
"2017-08-01 00:00:00","4193","4114","554699.70","132.29"
"2017-09-01 00:00:00","4150","4083","607399.67","146.36"
"2017-10-01 00:00:00","4478","4417","648247.65","144.76"
"2017-11-01 00:00:00","7289","7183","987765.37","135.51"
"2017-12-01 00:00:00","5513","5450","726033.19","131.69"
"2018-01-01 00:00:00","7069","6974","924645.00","130.80"
"2018-02-01 00:00:00","6555","6400","826437.13","126.08"
"2018-03-01 00:00:00","7003","6914","953356.25","136.14"
"2018-04-01 00:00:00","6798","6744","973534.09","143.21"
"2018-05-01 00:00:00","6749","6693","977544.69","144.84"
"2018-06-01 00:00:00","6099","6061","856077.86","140.36"
"2018-07-01 00:00:00","6159","6100","867953.46","140.92"
"2018-08-01 00:00:00","6351","6310","838576.64","132.04"
